n,method,time
800,naive,1.209999999999999964473e+00
800,better,6.700000000000000399680e-01
800,blas,5.999999999999999777955e-01
800,naive,1.209999999999999964473e+00
800,better,6.800000000000000488498e-01
800,blas,6.099999999999999866773e-01
800,naive,1.209999999999999964473e+00
800,better,6.800000000000000488498e-01
800,blas,6.199999999999999955591e-01
800,naive,1.209999999999999964473e+00
800,better,6.700000000000000399680e-01
800,blas,6.199999999999999955591e-01
800,naive,1.209999999999999964473e+00
800,better,6.700000000000000399680e-01
800,blas,6.099999999999999866773e-01
800,naive,1.209999999999999964473e+00
800,better,6.700000000000000399680e-01
800,blas,6.199999999999999955591e-01
800,naive,1.209999999999999964473e+00
800,better,6.700000000000000399680e-01
800,blas,6.199999999999999955591e-01
900,naive,1.750000000000000000000e+00
900,better,9.599999999999999644729e-01
900,blas,9.300000000000000488498e-01
900,naive,1.750000000000000000000e+00
900,better,9.599999999999999644729e-01
900,blas,9.499999999999999555911e-01
900,naive,1.750000000000000000000e+00
900,better,9.499999999999999555911e-01
900,blas,9.399999999999999467093e-01
900,naive,1.739999999999999991118e+00
900,better,9.599999999999999644729e-01
900,blas,9.499999999999999555911e-01
900,naive,1.760000000000000008882e+00
900,better,9.499999999999999555911e-01
900,blas,9.399999999999999467093e-01
900,naive,1.739999999999999991118e+00
900,better,9.599999999999999644729e-01
900,blas,9.499999999999999555911e-01
900,naive,1.770000000000000017764e+00
900,better,9.599999999999999644729e-01
900,blas,9.799999999999999822364e-01
900,naive,1.760000000000000008882e+00
900,better,9.499999999999999555911e-01
900,blas,9.699999999999999733546e-01
900,naive,1.760000000000000008882e+00
900,better,9.599999999999999644729e-01
900,blas,9.499999999999999555911e-01
900,naive,1.739999999999999991118e+00
900,better,9.799999999999999822364e-01
900,blas,9.499999999999999555911e-01
1000,naive,2.410000000000000142109e+00
1000,better,1.350000000000000088818e+00
1000,blas,1.340000000000000079936e+00
1000,naive,2.410000000000000142109e+00
1000,better,1.350000000000000088818e+00
1000,blas,1.310000000000000053291e+00
1000,naive,2.419999999999999928946e+00
1000,better,1.340000000000000079936e+00
1000,blas,1.290000000000000035527e+00
1000,naive,2.419999999999999928946e+00
1000,better,1.340000000000000079936e+00
1000,blas,1.310000000000000053291e+00
1000,naive,2.419999999999999928946e+00
1000,better,1.340000000000000079936e+00
1000,blas,1.300000000000000044409e+00
1000,naive,2.419999999999999928946e+00
1000,better,1.340000000000000079936e+00
1000,blas,1.290000000000000035527e+00
1000,naive,2.419999999999999928946e+00
1000,better,1.340000000000000079936e+00
1000,blas,1.280000000000000026645e+00
1000,naive,2.410000000000000142109e+00
1000,better,1.340000000000000079936e+00
1000,blas,1.310000000000000053291e+00
1000,naive,2.410000000000000142109e+00
1000,better,1.340000000000000079936e+00
1000,blas,1.320000000000000062172e+00
1000,naive,2.419999999999999928946e+00
1000,better,1.340000000000000079936e+00
1000,blas,1.320000000000000062172e+00
