Column1,Column2,Column3
1360.0,2.1e-6,0.000965
1360.0,2.2e-6,0.0009429
1360.0,2.2e-6,0.000982
1360.0,2.3e-6,0.0010354
1360.0,2.0e-6,0.0011046
1360.0,2.0e-6,0.0009807
1360.0,2.4e-6,0.0009357
1360.0,2.4e-6,0.0009353
1360.0,2.8e-6,0.0010721
1360.0,2.1e-6,0.001026
1440.0,2.7e-6,0.0010945
1440.0,1.9e-6,0.0010456
1440.0,1.8e-6,0.0010631
1440.0,1.8e-6,0.0010913
1440.0,2.3e-6,0.0010776
1440.0,1.9e-6,0.0010605
1440.0,2.3e-6,0.0011014
1440.0,2.0e-6,0.0010722
1440.0,2.4e-6,0.0010561
1440.0,1.9e-6,0.0010663
1520.0,2.4e-6,0.0013078
1520.0,2.3e-6,0.0012162
1520.0,2.1e-6,0.0011958
1520.0,2.2e-6,0.0012651
1520.0,2.5e-6,0.001265
1520.0,2.3e-6,0.0016688
1520.0,2.6e-6,0.0011155
1520.0,2.0e-6,0.0012795
1520.0,2.2e-6,0.0010783
1520.0,2.1e-6,0.0011195
1600.0,2.1e-6,0.0013972
1600.0,2.1e-6,0.0014357
1600.0,2.8e-6,0.0015122
1600.0,2.2e-6,0.0013461
1600.0,2.2e-6,0.0012921
1600.0,2.0e-6,0.0012897
1600.0,2.5e-6,0.0013512
1600.0,2.0e-6,0.0013937
1600.0,2.2e-6,0.0012577
1600.0,2.0e-6,0.0013492
1680.0,1.8e-6,0.0013274
1680.0,1.9e-6,0.0014339
1680.0,2.0e-6,0.0014925
1680.0,2.2e-6,0.0015185
1680.0,2.1e-6,0.0015643
1680.0,2.4e-6,0.0013611
1680.0,2.7e-6,0.0014945
1680.0,2.1e-6,0.0013655
1680.0,2.0e-6,0.0013854
1680.0,2.8e-6,0.001145
1760.0,2.1e-6,0.0017345
1760.0,2.7e-6,0.0017175
1760.0,2.7e-6,0.0016561
1760.0,1.8e-6,0.0012937
1760.0,2.3e-6,0.0013966
1760.0,2.1e-6,0.0012975
1760.0,2.1e-6,0.0014356
1760.0,2.3e-6,0.0014858
1760.0,2.6e-6,0.0015375
1760.0,2.7e-6,0.0015537
1840.0,2.7e-6,0.0014218
1840.0,2.2e-6,0.0013555
1840.0,1.8e-6,0.0014069
1840.0,1.9e-6,0.0013757
