n,method,time
200,blas,1.000000000000000020817e-02
300,naive,3.499999999999999777955e-01
300,better,3.200000000000000066613e-01
300,blas,2.999999999999999888978e-02
300,naive,3.400000000000000244249e-01
300,better,3.200000000000000066613e-01
300,blas,2.999999999999999888978e-02
300,naive,3.300000000000000155431e-01
300,better,3.300000000000000155431e-01
300,blas,2.000000000000000041633e-02
300,naive,3.400000000000000244249e-01
300,better,3.200000000000000066613e-01
300,blas,2.999999999999999888978e-02
300,naive,3.300000000000000155431e-01
300,better,3.200000000000000066613e-01
300,blas,2.999999999999999888978e-02
300,naive,3.300000000000000155431e-01
300,better,3.200000000000000066613e-01
300,blas,2.999999999999999888978e-02
300,naive,3.300000000000000155431e-01
300,better,3.300000000000000155431e-01
300,blas,2.999999999999999888978e-02
300,naive,3.300000000000000155431e-01
300,better,3.200000000000000066613e-01
300,blas,2.999999999999999888978e-02
300,naive,3.400000000000000244249e-01
300,better,3.200000000000000066613e-01
300,blas,2.999999999999999888978e-02
300,naive,3.400000000000000244249e-01
300,better,3.200000000000000066613e-01
300,blas,2.999999999999999888978e-02
400,naive,8.299999999999999600320e-01
400,better,7.700000000000000177636e-01
400,blas,7.000000000000000666134e-02
400,naive,8.399999999999999689138e-01
400,better,7.700000000000000177636e-01
400,blas,7.000000000000000666134e-02
400,naive,8.399999999999999689138e-01
400,better,7.600000000000000088818e-01
400,blas,7.000000000000000666134e-02
400,naive,8.199999999999999511502e-01
400,better,7.600000000000000088818e-01
400,blas,7.000000000000000666134e-02
400,naive,8.199999999999999511502e-01
400,better,7.600000000000000088818e-01
400,blas,7.000000000000000666134e-02
400,naive,8.199999999999999511502e-01
400,better,7.700000000000000177636e-01
400,blas,7.000000000000000666134e-02
400,naive,8.399999999999999689138e-01
400,better,7.600000000000000088818e-01
400,blas,5.999999999999999777955e-02
400,naive,8.199999999999999511502e-01
400,better,7.700000000000000177636e-01
400,blas,7.000000000000000666134e-02
400,naive,8.199999999999999511502e-01
400,better,7.700000000000000177636e-01
400,blas,7.000000000000000666134e-02
400,naive,8.199999999999999511502e-01
400,better,7.600000000000000088818e-01
400,blas,7.000000000000000666134e-02
500,naive,1.739999999999999991118e+00
500,better,1.500000000000000000000e+00
500,blas,1.300000000000000044409e-01
500,naive,1.800000000000000044409e+00
500,better,1.500000000000000000000e+00
500,blas,1.300000000000000044409e-01
500,naive,1.719999999999999973355e+00
500,better,1.489999999999999991118e+00
500,blas,1.300000000000000044409e-01
500,naive,1.750000000000000000000e+00
500,better,1.500000000000000000000e+00
500,blas,1.400000000000000133227e-01
500,naive,1.800000000000000044409e+00
500,better,1.489999999999999991118e+00
500,blas,1.400000000000000133227e-01
500,naive,1.860000000000000097700e+00
500,better,1.500000000000000000000e+00
500,blas,1.300000000000000044409e-01
500,naive,1.679999999999999937828e+00
500,better,1.500000000000000000000e+00
500,blas,1.300000000000000044409e-01
500,naive,1.649999999999999911182e+00
500,better,1.500000000000000000000e+00
500,blas,1.300000000000000044409e-01
500,naive,1.810000000000000053291e+00
500,better,1.489999999999999991118e+00
500,blas,1.400000000000000133227e-01
500,naive,1.810000000000000053291e+00
500,better,1.489999999999999991118e+00
500,blas,1.400000000000000133227e-01
600,naive,3.209999999999999964473e+00
600,better,2.580000000000000071054e+00
600,blas,2.399999999999999911182e-01
600,naive,3.140000000000000124345e+00
600,better,2.580000000000000071054e+00
600,blas,2.300000000000000099920e-01
600,naive,2.959999999999999964473e+00
600,better,2.569999999999999840128e+00
600,blas,2.300000000000000099920e-01
600,naive,3.049999999999999822364e+00
600,better,2.580000000000000071054e+00
600,blas,2.399999999999999911182e-01
600,naive,3.399999999999999911182e+00
600,better,2.580000000000000071054e+00
600,blas,2.399999999999999911182e-01
600,naive,3.399999999999999911182e+00
600,better,2.569999999999999840128e+00
600,blas,2.399999999999999911182e-01
600,naive,3.410000000000000142109e+00
600,better,2.580000000000000071054e+00
600,blas,2.399999999999999911182e-01
600,naive,3.419999999999999928946e+00
600,better,2.580000000000000071054e+00
600,blas,2.399999999999999911182e-01
600,naive,3.379999999999999893419e+00
600,better,2.580000000000000071054e+00
600,blas,2.399999999999999911182e-01
600,naive,2.839999999999999857891e+00
600,better,2.580000000000000071054e+00
600,blas,2.300000000000000099920e-01
700,naive,4.910000000000000142109e+00
700,better,4.089999999999999857891e+00
700,blas,3.800000000000000044409e-01
700,naive,5.320000000000000284217e+00
700,better,4.089999999999999857891e+00
700,blas,4.000000000000000222045e-01
700,naive,5.570000000000000284217e+00
700,better,4.089999999999999857891e+00
700,blas,3.900000000000000133227e-01
700,naive,5.580000000000000071054e+00
700,better,4.089999999999999857891e+00
700,blas,3.800000000000000044409e-01
700,naive,5.540000000000000035527e+00
700,better,4.089999999999999857891e+00
700,blas,3.900000000000000133227e-01
700,naive,5.580000000000000071054e+00
700,better,4.089999999999999857891e+00
700,blas,3.900000000000000133227e-01
700,naive,5.610000000000000319744e+00
700,better,4.099999999999999644729e+00
700,blas,3.800000000000000044409e-01
700,naive,5.580000000000000071054e+00
700,better,4.080000000000000071054e+00
700,blas,3.800000000000000044409e-01
700,naive,5.320000000000000284217e+00
700,better,4.089999999999999857891e+00
700,blas,3.900000000000000133227e-01
700,naive,5.290000000000000035527e+00
700,better,4.089999999999999857891e+00
700,blas,3.900000000000000133227e-01
800,naive,8.220000000000000639488e+00
800,better,6.099999999999999644729e+00
800,blas,6.199999999999999955591e-01
800,naive,8.080000000000000071054e+00
800,better,6.099999999999999644729e+00
800,blas,6.199999999999999955591e-01
800,naive,8.089999999999999857891e+00
800,better,6.099999999999999644729e+00
800,blas,6.199999999999999955591e-01
800,naive,8.070000000000000284217e+00
800,better,6.099999999999999644729e+00
800,blas,6.099999999999999866773e-01
800,naive,8.070000000000000284217e+00
800,better,6.099999999999999644729e+00
800,blas,6.099999999999999866773e-01
800,naive,8.099999999999999644729e+00
800,better,6.099999999999999644729e+00
800,blas,6.099999999999999866773e-01
800,naive,8.089999999999999857891e+00
800,better,6.110000000000000319744e+00
800,blas,6.099999999999999866773e-01
800,naive,8.080000000000000071054e+00
800,better,6.099999999999999644729e+00
800,blas,6.099999999999999866773e-01
800,naive,8.070000000000000284217e+00
800,better,6.099999999999999644729e+00
800,blas,6.099999999999999866773e-01
800,naive,8.150000000000000355271e+00
800,better,6.099999999999999644729e+00
800,blas,6.199999999999999955591e-01
900,naive,1.180000000000000071054e+01
900,better,8.679999999999999715783e+00
900,blas,9.399999999999999467093e-01
900,naive,1.183000000000000007105e+01
900,better,8.689999999999999502620e+00
900,blas,9.300000000000000488498e-01
900,naive,1.164000000000000056843e+01
900,better,8.679999999999999715783e+00
900,blas,9.399999999999999467093e-01
900,naive,1.160999999999999943157e+01
900,better,8.679999999999999715783e+00
900,blas,9.300000000000000488498e-01
900,naive,1.175000000000000000000e+01
900,better,8.689999999999999502620e+00
900,blas,9.699999999999999733546e-01
900,naive,1.182000000000000028422e+01
900,better,8.689999999999999502620e+00
900,blas,9.499999999999999555911e-01
900,naive,1.178999999999999914735e+01
900,better,8.689999999999999502620e+00
900,blas,9.499999999999999555911e-01
900,naive,1.185999999999999943157e+01
900,better,8.689999999999999502620e+00
900,blas,9.499999999999999555911e-01
900,naive,1.178999999999999914735e+01
900,better,8.679999999999999715783e+00
900,blas,9.499999999999999555911e-01
900,naive,1.164000000000000056843e+01
900,better,8.689999999999999502620e+00
900,blas,9.399999999999999467093e-01
1000,naive,1.607999999999999829470e+01
1000,better,1.191000000000000014211e+01
1000,blas,1.350000000000000088818e+00
1000,naive,1.614000000000000056843e+01
1000,better,1.191000000000000014211e+01
1000,blas,1.330000000000000071054e+00
1000,naive,1.616000000000000014211e+01
1000,better,1.191000000000000014211e+01
1000,blas,1.340000000000000079936e+00
1000,naive,1.610999999999999943157e+01
1000,better,1.191000000000000014211e+01
1000,blas,1.360000000000000097700e+00
1000,naive,1.610999999999999943157e+01
1000,better,1.191999999999999992895e+01
1000,blas,1.330000000000000071054e+00
1000,naive,1.607999999999999829470e+01
1000,better,1.191999999999999992895e+01
1000,blas,1.330000000000000071054e+00
1000,naive,1.605000000000000071054e+01
1000,better,1.191999999999999992895e+01
1000,blas,1.320000000000000062172e+00
1000,naive,1.603000000000000113687e+01
1000,better,1.191999999999999992895e+01
1000,blas,1.340000000000000079936e+00
1000,naive,1.607999999999999829470e+01
1000,better,1.191999999999999992895e+01
1000,blas,1.340000000000000079936e+00
1000,naive,1.605000000000000071054e+01
1000,better,1.191000000000000014211e+01
1000,blas,1.330000000000000071054e+00
